,date,value
545,1977-07-01,5.42
546,1977-06-01,5.39
547,1977-05-01,5.35
548,1977-04-01,4.73
549,1977-03-01,4.69
550,1977-02-01,4.68
551,1977-01-01,4.61
552,1976-12-01,4.65
553,1976-11-01,4.95
554,1976-10-01,5.02
555,1976-09-01,5.25
556,1976-08-01,5.29
557,1976-07-01,5.31
558,1976-06-01,5.48
559,1976-05-01,5.29
560,1976-04-01,4.82
561,1976-03-01,4.84
562,1976-02-01,4.77
563,1976-01-01,4.87
564,1975-12-01,5.20
565,1975-11-01,5.22
566,1975-10-01,5.82
567,1975-09-01,6.24
568,1975-08-01,6.14
569,1975-07-01,6.10
570,1975-06-01,5.55
571,1975-05-01,5.22
572,1975-04-01,5.49
573,1975-03-01,5.54
574,1975-02-01,6.24
575,1975-01-01,7.13
576,1974-12-01,8.53
577,1974-11-01,9.45
578,1974-10-01,10.06
579,1974-09-01,11.34
580,1974-08-01,12.01
581,1974-07-01,12.92
582,1974-06-01,11.93
583,1974-05-01,11.31
584,1974-04-01,10.51
585,1974-03-01,9.35
586,1974-02-01,8.97
587,1974-01-01,9.65
588,1973-12-01,9.95
589,1973-11-01,10.03
590,1973-10-01,10.01
591,1973-09-01,10.78
592,1973-08-01,10.50
593,1973-07-01,10.40
594,1973-06-01,8.49
595,1973-05-01,7.84
596,1973-04-01,7.12
597,1973-03-01,7.09
598,1973-02-01,6.58
599,1973-01-01,5.94
600,1972-12-01,5.33
601,1972-11-01,5.06
602,1972-10-01,5.05
603,1972-09-01,4.87
604,1972-08-01,4.81
605,1972-07-01,4.55
606,1972-06-01,4.46
607,1972-05-01,4.27
608,1972-04-01,4.17
609,1972-03-01,3.83
610,1972-02-01,3.30
611,1972-01-01,3.51
612,1971-12-01,4.14
613,1971-11-01,4.91
614,1971-10-01,5.20
615,1971-09-01,5.55
616,1971-08-01,5.57
617,1971-07-01,5.31
618,1971-06-01,4.91
619,1971-05-01,4.63
620,1971-04-01,4.16
621,1971-03-01,3.71
622,1971-02-01,3.72
623,1971-01-01,4.14
624,1970-12-01,4.90
625,1970-11-01,5.60
626,1970-10-01,6.20
627,1970-09-01,6.29
628,1970-08-01,6.62
629,1970-07-01,7.21
630,1970-06-01,7.61
631,1970-05-01,7.95
632,1970-04-01,8.10
633,1970-03-01,7.76
634,1970-02-01,8.98
635,1970-01-01,8.98
636,1969-12-01,8.97
637,1969-11-01,8.85
638,1969-10-01,9.00
639,1969-09-01,9.15
640,1969-08-01,9.19
641,1969-07-01,8.61
642,1969-06-01,8.90
643,1969-05-01,8.67
644,1969-04-01,7.41
645,1969-03-01,6.79
646,1969-02-01,6.61
647,1969-01-01,6.30
648,1968-12-01,6.02
649,1968-11-01,5.82
650,1968-10-01,5.91
651,1968-09-01,5.78
652,1968-08-01,6.03
653,1968-07-01,6.03
654,1968-06-01,6.07
655,1968-05-01,6.12
656,1968-04-01,5.76
657,1968-03-01,5.05
658,1968-02-01,4.71
659,1968-01-01,4.61
660,1967-12-01,4.51
661,1967-11-01,4.13
662,1967-10-01,3.88
663,1967-09-01,3.99
664,1967-08-01,3.90
665,1967-07-01,3.79
666,1967-06-01,3.98
667,1967-05-01,3.94
668,1967-04-01,4.05
669,1967-03-01,4.53
670,1967-02-01,5.00
671,1967-01-01,4.94
672,1966-12-01,5.40
673,1966-11-01,5.76
674,1966-10-01,5.53
675,1966-09-01,5.40
676,1966-08-01,5.53
677,1966-07-01,5.30
678,1966-06-01,5.17
679,1966-05-01,4.90
680,1966-04-01,4.67
681,1966-03-01,4.66
682,1966-02-01,4.60
683,1966-01-01,4.42
684,1965-12-01,4.32
685,1965-11-01,4.10
686,1965-10-01,4.08
687,1965-09-01,4.02
688,1965-08-01,4.12
689,1965-07-01,4.09
690,1965-06-01,4.05
691,1965-05-01,4.10
692,1965-04-01,4.09
693,1965-03-01,4.05
694,1965-02-01,3.98
695,1965-01-01,3.90
696,1964-12-01,3.85
697,1964-11-01,3.52
698,1964-10-01,3.36
699,1964-09-01,3.45
700,1964-08-01,3.50
701,1964-07-01,3.42
702,1964-06-01,3.50
703,1964-05-01,3.50
704,1964-04-01,3.47
705,1964-03-01,3.43
