date,retail
1996-05-01,205797
1996-04-01,191886
1996-03-01,191851
1996-02-01,173941
1996-01-01,167372
1995-12-01,227552
1995-11-01,193405
1995-10-01,184276
1995-09-01,182521
1995-08-01,193370
1995-07-01,182909
1995-06-01,191609
1995-05-01,190269
1995-04-01,176635
1995-03-01,181910
1995-02-01,155156
1995-01-01,158004
1994-12-01,221549
1994-11-01,184272
1994-10-01,178642
1994-09-01,175128
1994-08-01,182445
1994-07-01,173198
1994-06-01,178509
1994-05-01,175527
1994-04-01,170795
1994-03-01,173562
1994-02-01,146332
1994-01-01,145276
1993-12-01,206174
1993-11-01,169980
1993-10-01,163992
1993-09-01,159298
1993-08-01,163989
1993-07-01,164590
1993-06-01,162964
1993-05-01,163519
1993-04-01,158615
1993-03-01,153025
1993-02-01,134462
1993-01-01,137020
1992-12-01,191347
1992-11-01,154824
1992-10-01,155987
1992-09-01,148158
1992-08-01,152476
1992-07-01,152586
1992-06-01,151849
1992-05-01,152420
1992-04-01,147175
1992-03-01,142488
1992-02-01,131244
1992-01-01,130683
