date,gdp
1956-04-01,17461.0
1956-01-01,17388.0
1955-10-01,17528.0
1955-07-01,17508.0
1955-04-01,17353.0
1955-01-01,17144.0
1954-10-01,16737.0
1954-07-01,16496.0
1954-04-01,16387.0
1954-01-01,16436.0
1953-10-01,16586.0
1953-07-01,16920.0
1953-04-01,17093.0
1953-01-01,17025.0
1952-10-01,16776.0
1952-07-01,16317.0
1952-04-01,16271.0
1952-01-01,16299.0
1951-10-01,16192.0
1951-07-01,16234.0
1951-04-01,15979.0
1951-01-01,15769.0
1950-10-01,15623.0
1950-07-01,15398.0
1950-04-01,14889.0
1950-01-01,14500.0
1949-10-01,14009.0
1949-07-01,14192.0
1949-04-01,14107.0
1949-01-01,14212.0
1948-10-01,14474.0
1948-07-01,14525.0
1948-04-01,14505.0
1948-01-01,14326.0
1947-10-01,14171.0
1947-07-01,14018.0
1947-04-01,14111.0
1947-01-01,14213.0
