date,cpi,unemployment,fund_rate,retail,durables,gdp,SP500,cpi_rate,unemployment_rate,fund_rate_rate,retail_rate,durables_rate,gdp_rate,SP500_rate
1992-03-01,139.3,7.4,3.98,142488,129309,37522.65875422349,407.3645449551669,,,,,,,
1992-04-01,139.5,7.4,3.73,147175,123268,37607.0,407.40714372907365,0.00143575017946862,0.0,-0.06281407035175879,0.03289399809106741,-0.04671755252921295,-0.04671755252921295,0.00010457162861698954
1992-05-01,139.7,7.6,3.82,152420,122274,37685.05611828204,414.814501953125,0.0014336917562722817,0.027027027027026973,0.024128686327077764,0.03563784610157983,-0.008063731057533219,-0.008063731057533219,0.018181709226427367
1992-06-01,140.2,7.8,3.76,151849,131268,37754.69896798958,408.2745472301136,0.0035790980672869566,0.026315789473684292,-0.015706806282722474,-0.0037462275291956226,0.07355611168359588,0.07355611168359588,-0.01576597416970338
1992-07-01,140.5,7.7,3.25,152586,103025,37839.0,415.0513638583097,0.0021398002853068032,-0.012820512820512775,-0.13563829787234039,0.0048535057853524854,-0.21515525489837584,-0.21515525489837584,0.016598675264408502
1992-08-01,140.9,7.6,3.3,152476,113623,37938.89394671679,417.9271429152716,0.002846975088967918,-0.012987012987013102,0.01538461538461533,-0.0007209049323004812,0.1028682358650812,0.1028682358650812,0.00692873053163523
1992-09-01,141.3,7.6,3.22,148158,126277,38042.01294513948,418.4771423339844,0.002838892831795725,0.0,-0.024242424242424176,-0.028319210892206015,0.1113682969117169,0.1113682969117169,0.0013160174638962019
1992-10-01,141.8,7.3,3.1,155987,131334,38102.0,412.5027285489169,0.0035385704175512345,-0.03947368421052633,-0.037267080745341685,0.05284223599130655,0.04004688106305987,0.04004688106305987,-0.014276559411934064
1992-11-01,142.0,7.4,3.09,154824,121759,38106.585884118205,422.8439971923828,0.0014104372355430161,0.013698630136986356,-0.003225806451612967,-0.007455749517587984,-0.0729057212907549,-0.0729057212907549,0.025069576339152855
1992-12-01,141.9,7.4,2.92,191347,131937,38067.09103603168,435.6395457874645,-0.0007042253521126751,0.0,-0.055016181229773475,0.23590011884462347,0.08359135669642481,0.08359135669642481,0.030260684034873586
1993-01-01,142.6,7.3,3.02,137020,115794,38053.0,435.22899932861327,0.0049330514446792595,-0.013513513513513598,0.03424657534246589,-0.28391874447992393,-0.1223538507014712,-0.1223538507014712,-0.0009423994281996251
1993-02-01,143.1,7.1,3.03,134462,130164,38072.87950639687,441.70368074115953,0.003506311360448766,-0.0273972602739726,0.0033112582781456013,-0.018668807473361526,0.12409969428467793,0.12409969428467793,0.014876493575874283
1993-03-01,143.6,7.0,3.07,153025,138668,38124.051533303835,450.15521638289744,0.0034940600978337066,-0.014084507042253502,0.013201320132013139,0.13805387395695434,0.06533296456777604,0.06533296456777604,0.019133948867160466
1993-04-01,144.0,7.1,2.96,158615,126589,38158.0,443.0776207333519,0.0027855153203342198,0.014285714285714235,-0.03583061889250816,0.036529978761640214,-0.08710733550638938,-0.08710733550638938,-0.01572256722118126
1993-05-01,144.2,7.1,3.0,163519,123210,38168.00431990117,445.24649810791016,0.001388888888888884,0.0,0.013513513513513598,0.030917630741102764,-0.026692682618552954,-0.026692682618552954,0.004895028033617299
1993-06-01,144.4,7.0,3.04,162964,138459,38163.70441887022,448.0595439564098,0.0013869625520113171,-0.014084507042253502,0.01333333333333342,-0.003394100991322091,0.12376430484538603,0.12376430484538603,0.006317951652520026
1993-07-01,144.4,6.9,3.06,164590,107698,38210.0,447.28618803478423,0.0,-0.014285714285714235,0.006578947368421018,0.009977663778503176,-0.22216685083670984,-0.22216685083670984,-0.0017260114912334146
1993-08-01,144.8,6.8,3.03,163989,124150,38318.66862148991,454.1277285489169,0.0027700831024930483,-0.01449275362318847,-0.009803921568627527,-0.0036514976608542637,0.15276049694516147,0.15276049694516147,0.015295666839595379
1993-09-01,145.1,6.7,3.09,159298,134114,38471.6691839647,459.23523385184154,0.002071823204419676,-0.014705882352941124,0.01980198019801982,-0.028605577203348997,0.08025775271848579,0.08025775271848579,0.011246847487698552
1993-10-01,145.7,6.8,2.99,163992,135483,38606.0,463.8999968029204,0.004135079255685792,0.014925373134328401,-0.032362459546925404,0.029466785521475414,0.010207733719074907,0.010207733719074907,0.010157676517877468
1993-11-01,145.8,6.6,3.02,169980,131460,38701.44450354891,462.8904753185454,0.000686341798215695,-0.02941176470588236,0.010033444816053505,0.03651397629152631,-0.02969376231704346,-0.02969376231704346,-0.0021761618696537477
